Application,Server,ID,Release_Date,Benchmark,Version1,Status1,Version1_Finding_Details,Version2,Status2,Version2_Finding_Details,T/F,TRUE/FALSE
application A,server B,AC-20,2020-21-05,IE11,version1,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,version2,Not a Finding,Findings G,FALSE,FALSE
application A,server B,AC-21,2020-21-05,IE11,version1,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,version2,Not a Finding,Findings H,FALSE,FALSE
application A,server B,AC-22,2020-21-05,Windows2012,version1,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,version2,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,TRUE,TRUE
application A,server B,AC-23,2020-21-05,Windows2012,version1,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,version2,Not Applicable,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,TRUE,TRUE
application A,server B,AC-24,2020-21-05,Windows2012,version1,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,version2,Not Applicable,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,TRUE,TRUE
application A,server A,AC-01,2020-21-08,DOT NET,version1,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,version2,Not Applicable,Findings A,FALSE,FALSE
application A,server A,AC-02,2020-21-08,DOT NET,version1,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,version2,Not Applicable,Findings B,FALSE,FALSE
application A,server A,AC-03,2020-21-08,DOT NET,version1,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,version2,Not Applicable,Findings C,FALSE,FALSE
application A,server A,AC-04,2020-21-08,DOT NET,version1,Not Reviewed,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,version2,Not Applicable,Findings D,FALSE,FALSE
application A,server A,AC-05,2020-21-08,DOT NET,version1,Not Reviewed,Findings A,version2,Not Applicable,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,FALSE,FALSE
application A,server A,AC-06,2020-21-08,IE11,version1,Not Reviewed,Findings B,version2,Not Applicable,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,FALSE,FALSE
application A,server A,AC-07,2020-21-08,IE11,version1,Not Applicable,Findings C,version2,Not Applicable,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,FALSE,FALSE
application A,server A,AC-08,2020-21-08,IE11,version1,Not Applicable,Findings D,version2,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,FALSE,FALSE
application A,server A,AC-09,2020-21-08,IE11,version1,Not Applicable,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,version2,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,TRUE,TRUE
application A,server A,AC-10,2020-21-08,IE11,version1,Not Applicable,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,version2,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,TRUE,TRUE
application A,server A,AC-11,2020-21-08,Windows2012,version1,Not Applicable,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,version2,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,TRUE,TRUE
application A,server A,AC-12,2020-21-08,Windows2012,version1,Not Applicable,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,version2,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,TRUE,TRUE
application A,server A,AC-13,2020-21-08,Windows2012,version1,Not Applicable,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,version2,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,TRUE,TRUE
application A,server B,AC-14,2020-21-08,DOT NET,version1,Not Applicable,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,version2,Not a Finding,Findings A,FALSE,FALSE
application A,server B,AC-15,2020-21-08,DOT NET,version1,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,version2,Not a Finding,Findings B,FALSE,FALSE
application A,server B,AC-16,2020-21-08,DOT NET,version1,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,version2,Not a Finding,Findings C,FALSE,FALSE
application A,server B,AC-17,2020-21-08,DOT NET,version1,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,version2,Not a Finding,Findings D,FALSE,FALSE
application A,server B,AC-18,2020-21-08,IE11,version1,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,version2,Not a Finding,Findings E,FALSE,FALSE
application A,server B,AC-19,2020-21-08,IE11,version1,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,version2,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,TRUE,TRUE
application A,server B,AC-20,2020-21-08,IE11,version1,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,version2,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,TRUE,TRUE
application A,server B,AC-21,2020-21-08,IE11,version1,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,version2,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,TRUE,TRUE
application A,server B,AC-22,2020-21-08,Windows2012,version1,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,version2,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,TRUE,TRUE
application A,server B,AC-23,2020-21-08,Windows2012,version1,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,version2,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,TRUE,TRUE
application A,server B,AC-24,2020-21-08,Windows2012,version1,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,version2,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,TRUE,TRUE
application A,server A,AC-01,2020-21-12,DOT NET,version1,Open,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,version2,Not a Finding,Findings A,FALSE,FALSE
application A,server A,AC-02,2020-21-12,DOT NET,version1,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,version2,Not a Finding,Findings B,FALSE,FALSE
application A,server A,AC-03,2020-21-12,DOT NET,version1,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,version2,Not a Finding,Findings C,FALSE,FALSE
application A,server A,AC-04,2020-21-12,DOT NET,version1,Not Reviewed,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,version2,Not a Finding,Findings D,FALSE,FALSE
application A,server A,AC-05,2020-21-12,DOT NET,version1,Not Reviewed,Findings A,version2,Not Applicable,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,FALSE,FALSE
application A,server A,AC-06,2020-21-12,IE11,version1,Not Reviewed,Findings B,version2,Not Applicable,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,FALSE,FALSE
application A,server A,AC-07,2020-21-12,IE11,version1,Not Applicable,Findings C,version2,Not Applicable,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,FALSE,FALSE
application A,server A,AC-08,2020-21-12,IE11,version1,Not Applicable,Findings D,version2,Not Applicable,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,FALSE,FALSE
application A,server A,AC-09,2020-21-12,IE11,version1,Not Applicable,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,version2,Not Applicable,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,TRUE,TRUE
application A,server A,AC-10,2020-21-12,IE11,version1,Not Applicable,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,version2,Not Applicable,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,TRUE,TRUE
application A,server A,AC-11,2020-21-12,Windows2012,version1,Not Applicable,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,version2,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,TRUE,TRUE
application A,server A,AC-12,2020-21-12,Windows2012,version1,Not Applicable,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,version2,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,TRUE,TRUE
application A,server A,AC-13,2020-21-12,Windows2012,version1,Not Applicable,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,version2,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,TRUE,TRUE
application A,server B,AC-14,2020-21-12,DOT NET,version1,Not Applicable,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,version2,Not a Finding,Findings A,FALSE,FALSE
application A,server B,AC-15,2020-21-12,DOT NET,version1,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,version2,Not a Finding,Findings B,FALSE,FALSE
application A,server B,AC-16,2020-21-12,DOT NET,version1,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,version2,Not a Finding,Findings C,FALSE,FALSE
application A,server B,AC-17,2020-21-12,DOT NET,version1,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,version2,Not a Finding,Findings D,FALSE,FALSE
application A,server B,AC-18,2020-21-12,IE11,version1,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,version2,Not a Finding,Findings E,FALSE,FALSE
application A,server B,AC-19,2020-21-12,IE11,version1,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,version2,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,TRUE,TRUE
application A,server B,AC-20,2020-21-12,IE11,version1,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,version2,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,TRUE,TRUE
application A,server B,AC-21,2020-21-12,IE11,version1,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,version2,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,TRUE,TRUE
application A,server B,AC-22,2020-21-12,Windows2012,version1,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,version2,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,TRUE,TRUE
application A,server B,AC-23,2020-21-12,Windows2012,version1,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,version2,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,TRUE,TRUE
application A,server B,AC-24,2020-21-12,Windows2012,version1,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,version2,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,TRUE,TRUE
application A,server A,AC-01,2021-05-04,DOT NET,version1,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,version2,Not a Finding,Findings A,FALSE,FALSE
application A,server A,AC-02,2021-05-04,DOT NET,version1,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,version2,Not a Finding,Findings B,FALSE,FALSE
application A,server A,AC-03,2021-05-04,DOT NET,version1,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,version2,Not a Finding,Findings C,FALSE,FALSE
application A,server A,AC-04,2021-05-04,DOT NET,version1,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,version2,Not a Finding,Findings D,FALSE,FALSE
application A,server A,AC-05,2021-05-04,DOT NET,version1,Not a Finding,Findings A,version2,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,FALSE,FALSE
application A,server A,AC-06,2021-05-04,IE11,version1,Not a Finding,Findings B,version2,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,FALSE,FALSE
application A,server A,AC-07,2021-05-04,IE11,version1,Not a Finding,Findings C,version2,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,FALSE,FALSE
application A,server A,AC-08,2021-05-04,IE11,version1,Not a Finding,Findings D,version2,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,FALSE,FALSE
application A,server A,AC-09,2021-05-04,IE11,version1,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,version2,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,TRUE,TRUE
application A,server A,AC-10,2021-05-04,IE11,version1,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,version2,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,TRUE,TRUE
application A,server A,AC-11,2021-05-04,Windows2012,version1,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,version2,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,TRUE,TRUE
application A,server A,AC-12,2021-05-04,Windows2012,version1,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,version2,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,TRUE,TRUE
application A,server A,AC-13,2021-05-04,Windows2012,version1,Not Applicable,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,version2,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,TRUE,TRUE
application A,server B,AC-14,2021-05-04,DOT NET,version1,Not Applicable,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,version2,Not a Finding,Findings A,FALSE,FALSE
application A,server B,AC-15,2021-05-04,DOT NET,version1,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,version2,Not a Finding,Findings B,FALSE,FALSE
application A,server B,AC-16,2021-05-04,DOT NET,version1,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,version2,Not a Finding,Findings C,FALSE,FALSE
application A,server B,AC-17,2021-05-04,DOT NET,version1,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,version2,Not a Finding,Findings D,FALSE,FALSE
application A,server B,AC-18,2021-05-04,IE11,version1,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,version2,Not a Finding,Findings E,FALSE,FALSE
application A,server B,AC-19,2021-05-04,IE11,version1,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,version2,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,TRUE,TRUE
application A,server B,AC-20,2021-05-04,IE11,version1,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,version2,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,TRUE,TRUE
application A,server B,AC-21,2021-05-04,IE11,version1,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,version2,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,TRUE,TRUE
application A,server B,AC-22,2021-05-04,Windows2012,version1,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,version2,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,TRUE,TRUE
application A,server B,AC-23,2021-05-04,Windows2012,version1,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,version2,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,TRUE,TRUE
application A,server B,AC-24,2021-05-04,Windows2012,version1,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,version2,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,TRUE,TRUE
application B,server A,BC-01,2022-21-01,DOT NET,version1,Open,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,version2,Not a Finding,Findings A,FALSE,FALSE
application B,server A,BC-02,2022-21-01,DOT NET,version1,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,version2,Not a Finding,Findings B,FALSE,FALSE
application B,server A,BC-03,2022-21-01,DOT NET,version1,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,version2,Not a Finding,Findings C,FALSE,FALSE
application B,server A,BC-04,2022-21-01,DOT NET,version1,Not Reviewed,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,version2,Not a Finding,Findings D,FALSE,FALSE
application B,server A,BC-05,2022-21-01,DOT NET,version1,Not Reviewed,Findings A,version2,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,FALSE,FALSE
application B,server A,BC-06,2022-21-01,IE11,version1,Not Reviewed,Findings B,version2,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,FALSE,FALSE
application B,server A,BC-07,2022-21-01,IE11,version1,Not Applicable,Findings C,version2,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,FALSE,FALSE
application B,server A,BC-08,2022-21-01,IE11,version1,Not Applicable,Findings D,version2,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,FALSE,FALSE
application B,server A,BC-09,2022-21-01,IE11,version1,Not Applicable,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,version2,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,TRUE,TRUE
application B,server A,BC-10,2022-21-01,IE11,version1,Not Applicable,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,version2,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,TRUE,TRUE
application B,server A,BC-11,2022-21-01,Windows2012,version1,Not Applicable,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,version2,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,TRUE,TRUE
application B,server A,BC-12,2022-21-01,Windows2012,version1,Not Applicable,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,version2,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,TRUE,TRUE
application B,server A,BC-13,2022-21-01,Windows2012,version1,Not Applicable,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,version2,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,TRUE,TRUE
application B,server B,BC-14,2022-21-01,DOT NET,version1,Not Applicable,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,version2,Not a Finding,Findings A,FALSE,FALSE
application B,server B,BC-15,2022-21-01,DOT NET,version1,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,version2,Not a Finding,Findings B,FALSE,FALSE
application B,server B,BC-16,2022-21-01,DOT NET,version1,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,version2,Not a Finding,Findings C,FALSE,FALSE
application B,server B,BC-17,2022-21-01,DOT NET,version1,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,version2,Not a Finding,Findings D,FALSE,FALSE
application B,server B,BC-18,2022-21-01,IE11,version1,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,version2,Not a Finding,Findings E,FALSE,FALSE
application B,server B,BC-19,2022-21-01,IE11,version1,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,version2,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,TRUE,TRUE
application B,server B,BC-20,2022-21-01,IE11,version1,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,version2,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,TRUE,TRUE
application B,server B,BC-21,2022-21-01,IE11,version1,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,version2,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,TRUE,TRUE
application B,server B,BC-22,2022-21-01,Windows2012,version1,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,version2,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,TRUE,TRUE
application B,server B,BC-23,2022-21-01,Windows2012,version1,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,version2,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,TRUE,TRUE
application B,server B,BC-24,2022-21-01,Windows2012,version1,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,version2,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,TRUE,TRUE
application B,server A,BC-01,2022-21-02,DOT NET,version1,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,version2,Not a Finding,Findings A,FALSE,FALSE
application B,server A,BC-02,2022-21-02,DOT NET,version1,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,version2,Not a Finding,Findings B,FALSE,FALSE
application B,server A,BC-03,2022-21-02,DOT NET,version1,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,version2,Not a Finding,Findings C,FALSE,FALSE
application B,server A,BC-04,2022-21-02,DOT NET,version1,Not Reviewed,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,version2,Not a Finding,Findings D,FALSE,FALSE
application B,server A,BC-05,2022-21-02,DOT NET,version1,Not Reviewed,Findings A,version2,Not a Finding,,FALSE,FALSE
application B,server A,BC-06,2022-21-02,IE11,version1,Not Reviewed,Findings B,version2,Not a Finding,,FALSE,FALSE
application B,server A,BC-07,2022-21-02,IE11,version1,Not Applicable,Findings C,version2,Not a Finding,,FALSE,FALSE
application B,server A,BC-08,2022-21-02,IE11,version1,Not Applicable,Findings D,version2,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,FALSE,FALSE
application B,server A,BC-09,2022-21-02,IE11,version1,Not Applicable,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,version2,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,TRUE,TRUE
application B,server A,BC-10,2022-21-02,IE11,version1,Not Applicable,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,version2,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,TRUE,TRUE
application B,server A,BC-11,2022-21-02,Windows2012,version1,Not Applicable,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,version2,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,TRUE,TRUE
application B,server A,BC-12,2022-21-02,Windows2012,version1,Not Applicable,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,version2,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,TRUE,TRUE
application B,server A,BC-13,2022-21-02,Windows2012,version1,Not Applicable,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,version2,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,TRUE,TRUE
